Model Name,Target,RMSE,MAE,Elapsed Time(s)
Linear Regression without Covariates on 24-hour lag,Wind Speed,0.9315484782834459,0.664651557571818,20.831984281539917
Linear Regression with Covariates on 24-hour lag,Wind Speed,0.9184891523045149,0.6616415830262011,13.713171482086182
Linear Regression without Covariates on 24-hour lag,Wind Direction,100.01128340812895,73.40217944991817,11.766272068023682
Linear Regression with Covariates on 24-hour lag,Wind Direction,101.1115549663277,76.33765473494324,14.454463005065918
Random Forest Regression without Covariates on 24-hour lag,Wind Speed,0.9296936324448539,0.6700567139282735,27.403870582580566
Random Forest Regression with Covariates on 24-hour lag,Wind Speed,0.8947570504422397,0.6339741451209341,30.13752245903015
Random Forest Regression without Covariates on 24-hour lag,Wind Direction,99.64735525190696,75.37018765638031,24.650795936584473
Random Forest Regression with Covariates on 24-hour lag,Wind Direction,95.27607550281715,69.06565387823186,26.03997564315796
CatBoost Model without Covariates on 24-hour lag,Wind Speed,0.9210958278604269,0.6600413009742216,13.091160535812378
CatBoost Model with Covariates on 24-hour lag,Wind Speed,0.8789043756937149,0.6231943825158691,19.799259185791016
CatBoost Model without Covariates on 24-hour lag,Wind Direction,97.68330968696304,70.86628966606797,10.49487590789795
CatBoost Model with Covariates on 24-hour lag,Wind Direction,94.64482056993917,69.06203067260407,17.67225956916809
LightGBM Model without Covariates on 24-hour lag,Wind Speed,0.9270190669743964,0.6608071624691022,11.173805236816406
LightGBM Model with Covariates on 24-hour lag,Wind Speed,0.8827681431529524,0.6288107397012358,13.266041994094849
LightGBM Model without Covariates on 24-hour lag,Wind Direction,98.24020002404878,71.32360969552661,10.870087623596191
LightGBM Model with Covariates on 24-hour lag,Wind Direction,96.92728829914199,69.83816024362744,12.377678394317627
XGBoost Model without Covariates on 24-hour lag,Wind Speed,0.9767247828899197,0.7027731792211339,11.417946815490723
XGBoost Model with Covariates on 24-hour lag,Wind Speed,0.9297784209842207,0.6645296638781009,13.773528337478638
XGBoost Model without Covariates on 24-hour lag,Wind Direction,103.95445877527695,76.03899697326838,11.477482557296753
XGBoost Model with Covariates on 24-hour lag,Wind Direction,101.16006425984845,72.99710289109638,14.048959970474243
